Ticker,Quantidade,Setor,Data de atualização,Valor Atual,PAYOUT,LPA,VPA,P/L,P/VP,P/SR,ROE,ROA,EBITDA,Margem bruta,Margem líquida,Margem EBITDA,Margem operacional,P/CF,Liquidez corrente,Liquidez imediata,Liquidez seca,Giro do ativo,Endividamento geral,Ativo por ação,Dívida bruta,Dívida líquida,Capital de giro,Receita líquida por ação,EBIT por ação,Margem EBIT,Valor intrinseco Graham,Bazin
ABCB4,,,2025-04-25 17:42:55,21.37,31.57%,3.97,26.11,5.26,0.8,,15.21,0.01,,15.68,9.6,,11.55,,,,,0.14,,293.09,,,,41.37,,,35.27,17.9
AGRO3,,,2025-04-25 17:43:05,21.56,55.78%,2.73,21.45,8.03,1.02,,12.74,0.07,452.0,39.35,22.21,35.79,18.09,,1.69,0.04,1.41,0.32,78.85,38.37,1.249,1.201,448.0,12.3,3.52,28.63,26.51,21.75
RAIL3,,,2025-04-25 17:43:18,19.68,12.07%,0.52,7.94,38.54,2.51,,6.36,0.02,4.732,45.94,6.81,33.96,1.07,,1.63,1.12,1.59,0.28,238.75,27.28,19.123,11.661,4.203,7.51,1.31,17.43,7.04,0.9
ALPA3,,,2025-04-25 17:43:28,7.19,0.00%,0.16,5.91,44.47,1.19,,2.66,0.02,254.0,43.15,2.61,6.19,1.55,,2.56,1.1,2.04,0.6,69.45,10.01,1.423,65.0,2.109,6.01,0.07,1.25,3.37,0.0
ALPA4,,,2025-04-25 17:43:41,7.39,0.00%,0.16,5.91,46.43,1.24,,2.66,0.02,254.0,43.15,2.61,6.19,1.55,,2.56,1.1,2.04,0.6,69.45,10.01,1.423,65.0,2.109,6.01,0.07,1.25,3.37,0.0
ALSO3,,,2025-04-25 17:44:03,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
AMAR3,,,2025-04-25 17:44:16,1.41,0.00%,0.61,0.55,2.31,2.56,,110.95,0.17,5.0,49.1,22.68,0.34,17.62,,0.65,0.1,0.36,0.73,569.08,3.71,639.0,547.0,309.0,2.71,0.08,3.13,2.01,0.0
ABEV3,,,2025-04-25 17:44:28,14.09,73.13%,0.92,6.26,15.45,2.26,,14.91,0.09,28.932,51.24,16.6,32.34,21.79,,1.1,0.58,0.86,0.55,63.19,10.31,3.452,26.385,4.767,5.68,1.38,24.38,8.31,9.61
ADHM3,,,2025-04-25 17:44:41,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
ARZZ3,,,2025-04-25 17:44:56,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
BBAS3,,,2025-04-25 17:45:09,28.01,46.09%,6.15,31.56,4.5,0.88,,19.49,0.01,,20.21,12.67,,13.63,,,,,0.12,,417.99,,,,48.57,,,48.26,40.49
BBDC3,,,2025-04-25 17:45:21,11.97,49.22%,1.8,15.15,6.61,0.79,,11.89,0.01,,14.89,9.26,,6.43,,,,,0.12,,159.89,,,,19.45,,,18.09,12.66
BBDC4,,,2025-04-25 17:45:30,13.38,54.15%,1.8,15.15,7.41,0.88,,11.89,0.01,,14.89,9.26,,6.43,,,,,0.12,,159.89,,,,19.45,,,18.09,13.92
BBRK3,,,2025-04-25 17:45:43,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
BEEF3,,,2025-04-25 17:45:53,7.83,0.00%,2.57,0.79,2.92,9.52,,,0.04,3.096,20.56,4.59,9.09,4.42,,1.48,0.46,1.23,0.81,,69.39,30.082,15.621,7.883,56.1,4.0,7.13,4.94,0.0
BPHA3,,,2025-04-25 17:46:04,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
BPAN4,,,2025-04-25 17:46:16,7.54,38.95%,0.61,6.64,12.38,1.13,,9.16,0.01,,46.32,4.71,,5.05,,1.1,,,0.25,,52.51,,,2.462,12.92,,,6.97,3.39
BRAP3,,,2025-04-25 17:46:26,16.67,47.11%,3.03,21.58,5.6,0.79,,14.05,0.14,,,,,,,2.97,2.37,2.97,0.0,1.46,21.9,,,239.0,0.0,2.89,,28.01,20.39
BRAP4,,,2025-04-25 17:46:39,17.59,51.82%,3.03,21.58,5.91,0.83,,14.05,0.14,,,,,,,2.97,2.37,2.97,0.0,1.46,21.9,,,239.0,0.0,2.89,,28.01,22.43
BRFS3,,,2025-04-25 17:46:51,22.9,36.30%,1.91,8.97,11.52,2.45,,22.38,0.06,8.846,25.8,6.01,14.41,8.23,,1.48,0.54,1.16,0.98,279.87,37.25,20.74,8.681,10.009,36.48,4.07,11.14,14.34,9.9
APER3,,,2025-04-25 17:47:07,0.0,0,,,,,,6.22,0.03,45.0,100.0,8.24,12.75,9.43,,1.03,0.03,1.03,0.38,99.04,,188.0,64.0,8.0,,,6.6,0.0,0.0
BRKM3,,,2025-04-25 17:47:20,11.36,0.00%,14.2,6.0,0.8,1.9,,281.72,0.12,3.871,7.75,15.57,5.0,22.91,,1.31,0.53,0.83,0.76,,127.41,53.232,36.46,8.765,97.1,1.35,1.39,31.97,0.0
BRKM5,,,2025-04-25 17:47:33,11.29,0.00%,14.2,6.0,0.82,1.94,,281.72,0.12,3.871,7.75,15.57,5.0,22.91,,1.31,0.53,0.83,0.76,,127.41,53.232,36.46,8.765,97.1,1.35,1.39,31.97,0.0
BRML3,,,2025-04-25 17:47:47,0.0,0,,,,,,5.5,0.03,1.072,89.14,43.15,68.3,46.71,,1.0,0.01,1.0,0.08,66.47,,3.565,2.42,3.0,,,62.18,0.0,0.0
BRPR3,,,2025-04-25 17:47:59,0.0,0,,,,,,9.55,0.07,297.0,100.0,123.98,338.97,192.73,,1.12,0.57,1.12,0.06,39.17,,82.0,80.0,35.0,,,336.36,0.0,0.0
BRSR6,,,2025-04-25 17:48:10,11.25,28.62%,2.24,25.45,4.93,0.43,,8.8,0.01,,35.76,5.32,,6.38,,,,,0.12,,359.31,,,,42.1,,,26.16,9.16
OIBR3,,,2025-04-25 17:48:19,0.6,0.00%,29.11,49.43,0.02,0.01,,59.01,0.49,1.169,45.74,302.16,36.74,321.47,,1.0,0.19,0.98,0.16,221.33,59.86,11.954,10.201,30.0,9.63,5.93,61.51,131.4,0.0
OIBR4,,,2025-04-25 17:48:33,7.3,0.00%,29.11,49.43,0.27,0.16,,59.01,0.49,1.169,45.74,302.16,36.74,321.47,,1.0,0.19,0.98,0.16,221.33,59.86,11.954,10.201,30.0,9.63,5.93,61.51,131.4,0.0
BTOW3,,,2025-04-25 17:48:49,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
B3SA3,,,2025-04-25 17:48:58,13.39,43.76%,0.87,3.49,15.27,3.8,,24.9,0.1,6.617,89.98,43.29,62.59,57.92,,1.66,0.18,1.66,0.23,146.03,8.59,13.228,72.0,6.027,2.01,1.15,57.18,6.04,5.44
CAMB4,,,2025-04-25 17:49:14,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
CARD3,,,2025-04-25 17:49:29,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
CCPR3,,,2025-04-25 17:49:44,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
CCRO3,,,2025-04-25 17:49:54,13.2,56.93%,0.62,6.74,21.14,1.94,,9.37,0.02,7.004,33.68,6.02,32.16,10.73,,1.7,0.68,1.62,0.37,322.06,29.26,33.878,27.169,4.309,10.78,2.69,24.92,7.08,5.04
CEDO4,,,2025-04-25 17:50:06,20.98,0.00%,11.05,30.9,1.9,0.68,,35.61,0.12,188.0,29.63,10.67,18.18,7.92,,1.24,0.02,0.62,1.1,203.95,94.41,380.0,364.0,73.0,103.68,16.52,15.94,64.01,0.0
CEED3,,,2025-04-25 17:50:16,0.0,0.00%,6.43,53.01,1.71,0.21,,12.13,0.05,442.0,19.67,8.22,8.29,9.14,,1.15,0.04,1.14,0.65,326.98,120.32,5.705,4.819,329.0,78.24,4.17,5.33,63.96,0.0
CESP6,,,2025-04-25 17:50:31,0.0,0,,,,,,13.58,0.07,2.392,30.27,73.33,162.75,112.53,,3.12,2.62,3.12,0.1,82.56,,4.019,2.164,1.502,,,133.96,0.0,0.0
CGAS5,,,2025-04-25 17:50:40,129.99,167.51%,13.53,8.56,9.41,14.87,,158.08,0.12,,21.51,11.61,,17.06,,1.44,0.6,1.4,0.99,,117.65,9.789,7.6,1.602,116.53,23.19,19.9,37.28,323.77
CGRA4,,,2025-04-25 17:50:52,26.65,53.54%,5.02,45.69,5.36,0.59,,10.98,0.08,109.0,52.84,14.36,15.01,16.69,,2.47,0.81,1.91,0.54,42.02,64.88,,,374.0,34.93,3.9,11.16,52.46,38.4
CIEL3,,,2025-04-25 17:51:06,0.0,0,,,,,,14.79,0.02,2.896,42.81,17.19,28.13,22.46,,1.06,0.01,1.06,0.09,841.15,,7.604,6.243,5.992,,,19.49,0.0,0.0
CMIG3,,,2025-04-25 17:51:17,15.16,51.78%,2.49,9.57,5.99,1.56,,26.0,0.12,11.253,20.48,17.88,28.26,23.5,,0.86,0.13,0.86,0.67,118.12,20.87,12.279,10.023,1.914,13.91,3.45,24.81,16.91,18.42
CMIG4,,,2025-04-25 17:51:31,10.93,60.95%,2.49,9.57,4.28,1.11,,26.0,0.12,11.253,20.48,17.88,28.26,23.5,,0.86,0.13,0.86,0.67,118.12,20.87,12.279,10.023,1.914,13.91,3.45,24.81,16.91,21.68
COCE5,,,2025-04-25 17:51:41,25.7,26.81%,5.97,66.02,4.3,0.39,,9.05,0.03,1.879,19.01,5.51,22.26,5.87,,0.54,0.04,0.54,0.59,180.31,185.05,5.447,5.232,2.593,108.43,15.84,14.61,68.77,22.87
CPFE3,,,2025-04-25 17:51:52,39.04,58.10%,4.74,17.99,8.22,2.16,,26.44,0.07,13.133,31.83,13.52,30.81,18.98,,0.95,0.11,0.94,0.55,253.88,66.94,28.788,25.241,819.0,37.0,9.4,25.41,31.99,39.34
CPLE3,,,2025-04-25 17:52:03,10.25,26.30%,0.94,8.61,11.2,1.23,,10.92,0.05,5.529,21.59,12.36,24.41,12.83,,1.26,0.4,1.25,0.39,123.83,19.24,17.246,13.083,2.699,7.59,1.36,17.94,9.85,3.53
CPLE6,,,2025-04-25 17:52:14,11.28,28.93%,0.94,8.61,12.35,1.35,,10.92,0.05,5.529,21.59,12.36,24.41,12.83,,1.26,0.4,1.25,0.39,123.83,19.24,17.246,13.083,2.699,7.59,1.36,17.94,9.85,3.88
CRDE3,,,2025-04-25 17:52:33,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
CSAN3,,,2025-04-25 17:52:43,7.71,37.83%,5.05,5.84,1.55,1.34,,20.72,0.06,7.373,31.2,18.57,16.78,11.93,,1.72,0.94,1.6,0.31,258.56,75.68,72.965,56.061,12.861,23.55,1.88,7.97,18.81,27.29
CSMG3,,,2025-04-25 17:52:55,21.24,67.82%,3.46,21.17,6.05,0.99,,16.36,0.08,2.795,42.82,16.72,35.49,21.24,,1.44,0.38,1.38,0.51,92.74,40.79,6.113,5.293,733.0,20.72,5.25,25.32,29.65,33.52
CSNA3,,,2025-04-25 17:53:06,9.39,"9,532.45%",1.95,9.25,4.79,1.01,,9.95,0.01,8.061,26.77,3.52,18.45,3.53,,1.58,0.93,1.17,0.42,572.14,78.36,56.914,32.693,14.669,32.94,3.22,9.77,14.71,0.0
LIQO3,,,2025-04-25 17:53:21,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
CTNM4,,,2025-04-25 17:53:33,0.0,0.00%,15.47,7.84,0.06,0.11,,186.32,0.26,294.0,2.07,70.52,24.44,68.77,,0.49,0.08,0.3,0.36,624.99,107.68,1.305,1.095,1.014,39.24,13.05,33.25,38.15,0.0
CYRE3,,,2025-04-25 17:53:46,25.53,13.27%,5.71,23.16,4.72,1.16,,19.31,0.09,,32.39,24.12,,26.44,,3.27,0.14,1.99,0.38,113.49,55.31,5.974,2.921,8.412,20.74,5.19,25.02,39.84,10.82
DASA3,,,2025-04-25 17:53:56,1.78,0.00%,0.96,6.32,1.88,0.28,,15.07,0.05,2.46,27.37,7.81,16.06,6.97,,1.55,0.33,1.46,0.58,233.41,21.08,10.397,8.501,2.904,12.21,0.87,7.14,8.53,0.0
DIRR3,,,2025-04-25 17:54:09,35.87,91.23%,3.68,11.62,9.93,3.14,,32.72,0.07,825.0,36.39,21.73,24.64,23.66,,3.03,0.53,1.94,0.33,352.72,58.03,1.633,18.0,3.063,19.3,4.35,22.55,22.65,47.96
DTEX3,,,2025-04-25 17:54:24,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
ECOR3,,,2025-04-25 17:54:41,6.9,14.96%,1.3,4.92,5.35,1.41,,24.75,0.03,4.507,39.59,9.25,45.65,17.42,,0.67,0.33,0.67,0.34,693.81,42.07,20.034,16.166,2.329,14.18,5.06,35.68,8.76,2.78
EEEL3,,,2025-04-25 17:55:00,0.0,0,,,,,,18.29,0.07,998.0,54.78,25.07,48.34,33.8,,1.32,0.16,1.26,0.26,176.09,,3.363,3.043,363.0,,,48.1,0.0,0.0
ELEK4,,,2025-04-25 17:55:18,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
ELET3,,,2025-04-25 17:55:31,43.43,28.15%,4.5,52.82,9.77,0.83,,8.51,0.04,26.236,44.89,25.83,65.3,26.43,,2.04,0.86,2.02,0.14,137.6,125.64,75.803,39.77,32.82,17.42,9.64,55.37,53.41,18.1
ELET6,,,2025-04-25 17:55:44,47.19,81.03%,4.5,52.82,10.54,0.9,,8.51,0.04,26.236,44.89,25.83,65.3,26.43,,2.04,0.86,2.02,0.14,137.6,125.64,75.803,39.77,32.82,17.42,9.64,55.37,53.41,52.09
EMBR3,,,2025-04-25 17:55:55,63.52,0.00%,2.59,25.72,24.39,2.46,,9.29,0.03,,18.02,5.43,,8.78,,1.47,0.35,0.81,0.48,253.53,98.88,15.425,1.785,12.979,47.84,5.09,10.65,28.27,0.0
ENBR3,,,2025-04-25 17:56:12,0.0,0,,,,,,19.49,0.06,5.082,27.35,14.15,29.13,17.65,,1.48,0.33,1.45,0.45,204.73,,13.133,8.913,6.131,,,24.78,0.0,0.0
ENGI4,,,2025-04-25 17:56:25,8.13,12.06%,1.66,7.55,4.93,1.08,,20.94,0.06,7.968,25.4,13.75,23.64,12.98,,1.23,0.06,1.22,0.44,248.56,33.71,35.117,26.556,3.362,14.73,2.67,18.12,12.26,2.86
EQTL3,,,2025-04-25 17:56:36,35.95,19.84%,2.24,20.83,15.81,1.7,,12.61,0.03,,28.78,8.31,,8.59,,1.46,0.17,1.45,0.39,289.5,92.84,55.827,42.789,8.922,36.18,6.89,19.04,23.66,6.35
YDUQ3,,,2025-04-25 17:56:49,14.16,0.00%,1.25,11.4,11.86,1.3,,10.87,0.03,1.742,61.01,6.38,32.55,5.65,,1.75,0.47,1.75,0.54,216.62,36.26,5.605,4.559,1.08,19.53,3.35,17.14,13.08,0.0
ETER3,,,2025-04-25 17:56:58,4.68,40.07%,0.63,13.05,7.44,0.36,,4.82,0.03,88.0,21.33,3.34,7.58,1.52,,1.86,0.06,1.18,0.89,62.08,21.15,126.0,110.0,248.0,18.81,0.6,3.17,9.93,3.61
EUCA4,,,2025-04-25 17:57:10,12.5,34.22%,2.14,27.76,5.98,0.46,,7.7,0.04,490.0,32.97,6.93,17.17,7.95,,1.71,0.26,1.06,0.63,77.74,49.33,805.0,559.0,689.0,30.86,4.03,13.06,26.7,10.46
EVEN3,,,2025-04-25 17:57:19,5.81,230.08%,0.21,9.0,28.74,0.67,,6.36,0.03,109.0,26.78,6.1,5.06,7.47,,4.32,0.02,1.78,0.42,150.31,25.89,1.176,412.0,3.274,10.79,0.53,4.87,4.76,6.9
EZTC3,,,2025-04-25 17:57:31,14.11,58.40%,1.83,21.74,8.16,0.69,,8.78,0.07,359.0,34.14,27.47,23.02,29.89,,6.84,0.19,3.24,0.24,32.43,29.26,1.136,365.0,2.233,7.06,1.51,21.43,21.85,15.27
FESA4,,,2025-04-25 17:57:44,7.26,81.71%,0.93,9.46,7.9,0.78,,9.81,0.07,366.0,21.07,14.65,16.4,14.3,,2.68,0.71,1.82,0.51,31.34,12.42,420.0,427.0,1.093,6.33,0.49,7.69,10.27,10.86
FHER3,,,2025-04-25 17:57:57,3.65,0.00%,21.44,21.3,0.17,0.17,,100.66,0.37,191.0,2.86,25.06,4.14,22.19,,0.79,0.03,0.27,1.48,371.6,57.85,,,586.0,85.57,4.69,5.49,74.03,0.0
TASA4,,,2025-04-25 17:58:07,8.92,50.04%,0.6,10.22,14.55,0.86,,5.92,0.03,252.0,34.82,4.58,15.1,4.72,,1.53,0.11,0.76,0.64,103.08,20.76,747.0,457.0,534.0,13.21,1.65,12.49,8.58,4.29
FLRY3,,,2025-04-25 17:58:17,12.98,61.84%,1.13,9.67,11.54,1.34,,11.23,0.05,1.977,27.89,7.86,25.74,10.23,,2.51,0.01,2.42,0.59,143.03,23.87,5.391,3.049,2.632,14.04,2.19,15.59,11.45,9.98
FRIO3,,,2025-04-25 17:58:27,289.99,0.00%,2.56,54.63,114.44,5.36,,5.2,0.01,225.0,17.03,1.03,10.32,0.16,,1.21,0.15,0.89,1.11,355.84,315.0,855.0,618.0,242.0,348.23,24.82,7.13,40.97,0.0
TIET3,,,2025-04-25 17:58:44,0.0,0,,,,,,37.9,0.11,1.886,70.03,49.91,81.59,39.24,,1.0,0.03,1.0,0.21,258.62,,5.932,5.202,4.0,,,61.76,0.0,0.0
TIET4,,,2025-04-25 17:58:59,0.0,0,,,,,,37.9,0.11,1.886,70.03,49.91,81.59,39.24,,1.0,0.03,1.0,0.21,258.62,,5.932,5.202,4.0,,,61.76,0.0,0.0
GFSA3,,,2025-04-25 17:59:12,1.56,0.00%,0.3,14.5,5.54,0.12,,2.09,0.01,46.0,5.37,4.02,4.5,0.47,,1.5,0.0,0.82,0.19,171.64,39.4,1.883,1.636,1.072,7.52,0.44,5.88,7.22,0.0
GGBR3,,,2025-04-25 17:59:25,14.99,35.93%,2.22,28.23,6.65,0.52,,7.91,0.05,10.613,13.73,6.86,15.83,8.15,,3.01,0.72,1.49,0.77,49.23,42.29,13.636,5.359,21.818,32.65,3.65,11.17,27.42,11.39
GGBR4,,,2025-04-25 17:59:34,15.33,35.93%,2.22,28.23,6.91,0.54,,7.91,0.05,10.613,13.73,6.86,15.83,8.15,,3.01,0.72,1.49,0.77,49.23,42.29,13.636,5.359,21.818,32.65,3.65,11.17,27.42,11.39
GOAU3,,,2025-04-25 17:59:45,8.67,30.00%,1.55,20.04,5.68,0.44,,7.91,0.05,10.6,13.73,6.88,15.82,8.17,,3.01,0.72,1.49,0.77,49.26,86.97,13.636,5.265,21.897,67.05,7.48,11.15,19.31,6.64
GOAU4,,,2025-04-25 17:59:55,8.59,30.00%,1.55,20.04,5.58,0.43,,7.91,0.05,10.6,13.73,6.88,15.82,8.17,,3.01,0.72,1.49,0.77,49.26,86.97,13.636,5.265,21.897,67.05,7.48,11.15,19.31,6.64
GOLL4,,,2025-04-25 18:00:04,1.33,0.00%,,,,,,20.86,0.25,1.694,30.03,31.72,8.86,38.96,,0.27,0.08,0.26,0.8,182.45,,22.624,20.289,19.192,,,1.03,0.0,0.0
GRND3,,,2025-04-25 18:00:14,5.36,50.24%,0.81,4.48,6.6,1.2,,18.19,0.16,641.0,47.21,27.97,24.42,30.92,,7.1,0.18,5.92,0.58,11.36,4.99,88.0,1.075,2.613,2.91,0.62,21.21,6.6,5.81
GSHP3,,,2025-04-25 18:00:26,6.0,0.00%,422.69,795.28,0.01,0.01,,53.15,0.67,98.0,67.4,451.69,54.1,446.46,,1.13,0.75,1.13,0.15,179.52,632.4,2.403,2.258,24.0,93.58,51.73,55.28,2008.45,0.0
HBOR3,,,2025-04-25 18:00:39,2.14,21.37%,0.42,10.85,5.09,0.2,,6.01,0.02,270.0,33.55,12.83,21.31,15.13,,1.52,0.12,0.84,0.19,147.03,50.04,1.991,1.51,1.005,9.49,1.79,18.89,7.39,1.28
HGTX3,,,2025-04-25 18:00:57,0.0,0,,,,,,8.28,0.06,96.0,40.58,9.67,6.56,0.7,,2.47,0.27,1.46,0.59,44.16,,202.0,51.0,812.0,,,0.59,0.0,0.0
PRIO3,,,2025-04-25 18:01:09,34.88,0.00%,11.49,28.92,3.0,1.19,,39.74,0.18,9.439,50.66,71.73,65.73,44.3,,2.16,1.08,1.83,0.26,115.04,62.19,22.433,18.44,4.264,16.02,7.75,48.36,63.15,0.0
HYPE3,,,2025-04-25 18:01:19,24.03,50.84%,2.12,19.1,11.15,1.24,,11.0,0.05,2.101,58.86,17.88,28.23,13.16,,1.7,0.44,1.2,0.3,102.94,38.77,9.38,7.64,2.741,11.75,2.87,24.45,22.04,15.4
IDNT3,,,2025-04-25 18:01:33,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IDVL4,,,2025-04-25 18:01:46,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IGTA3,,,2025-04-25 18:02:02,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
